"species","thr10","thr_min"
"Abarema_langsdorffii",0.578833128044895,0.576263948600883
"Achatocarpus_praecox",0.474974946112359,0.10809270151598
"Actinostemon_concolor",0.362769555650062,0.00861047208525845
"Aegiphila_brachiata",0.419545994840242,0.0892029564545885
"Aegiphila_integrifolia",0.468902478674629,0.0929127284924653
"Aegiphila_obducta",0.217434989799935,0.0111185555823
"Agarista_eucalyptoides",0.288056713542753,0.180469356286158
"Agonandra_excelsa",0.476549822484344,0.34922936552917
"Aiouea_glaziovii",0.109979028571534,0.0594916620113847
"Aiouea_saligna",0.221148959942898,0.0104621189751473
"Albizia_edwallii",0.465151851242448,0.205042848289857
"Albizia_niopoides",0.369653124202786,0.00387822752827199
"Albizia_polycephala",0.322178802073662,0.0383187217851529
"Alchornea_glandulosa",0.397688745830406,0.0914814116006367
"Alchornea_sidifolia",0.31197837825016,0.0323901712734746
"Alchornea_triplinervia",0.465131936464886,0.167798715305709
"Allophylus_edulis",0.392490094947298,0.0526061095688369
"Allophylus_guaraniticus",0.246703181688097,0.0647848491330325
"Allophylus_petiolulatus",0.194503165443327,0.0185160391720366
"Allophylus_puberulus",0.1579054480828,0.00222791382331194
"Aloysia_virgata",0.450058840832915,0.0723884067362393
"Alseis_floribunda",0.382803142605596,0.1095272005284
"Alsophila_setosa",0.259211541369244,0.0170457461891914
"Amaioua_guianensis",0.480428703426119,0.134362032441472
"Andira_fraxinifolia",0.232322293497774,0.0142524164926751
"Aniba_firmula",0.291445522814396,0.00750870570567091
"Annona_cacans",0.397916276663751,0.0868260336306654
"Annona_dolabripetala",0.263654607712476,0.020613637662969
"Annona_emarginata",0.314070915423386,0.046913891676146
"Annona_mucosa",0.228092052669162,0.0691135241135874
"Annona_sylvatica",0.324155771607765,0.0504269065572306
"Aparisthmium_cordatum",0.31599725052707,0.0436651710305827
"Apuleia_leiocarpa",0.415269439633411,0.162388487455601
"Aralia_warmingiana",0.467731873706139,0.210238514533005
